GRS ID,Record Title,Classification (General),Legal Citation,Disposition,Retention (Years),Retention Type,Event Type (General),Longer Retention Authorized?,Deviations Allowed?,Full Disposition Instruction,Disposition Authority,Superseded by,Last Updated,Comments
GRS_2.5.011,"Separation program management records - Records specific to an agency separation initiative such as reduction-in-force, voluntary early retirement, voluntary separation, and similar programs",Employee Separation,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after date of program closure, but longer retention is authorized if required for business use.",DAA-GRS-2014-0004-0002,,21-Dec,
GRS_2.5.020,Individual employee separation case files,Employee Separation,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after date of separation or transfer, but longer retention is authorized if required for business use.",DAA-GRS-2014-0004-0003,,21-Dec,
GRS_2.5.030,Records documenting capture of institutional and specialized knowledge,Employee Separation,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer required for business use.,DAA-GRS-2014-0004-0004,,21-Dec,
GRS_2.5.050,Phased retirement administrative records,Employee Separation,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or 3 years after revision or replacement, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2016-0007-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.5.051,Phased retirement individual case files,Employee Separation,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after employee participation concludes or the employee retires, but longer retention is authorized if required for business use.",DAA-GRS-2016-0007-0002,,21-Dec,
GRS_2.6.010,Non-mission employee training program records,Employee Training,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old, or 3 years after superseded or obsolete, whichever is appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2016-0014-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.6.020,Ethics training records,Employee Training,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 6 years old or when superseded, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2016-0014-0002,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.6.030,Individual employee training records,Employee Training,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when superseded, 3 years old, or 1 year after separation, whichever comes first, but longer retention is authorized if required for business use.",DAA-GRS-2016-0014-0003,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.6.040,Senior Executive Service Candidate Development Program (SESCDP) - Program records,Employee Training,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer needed for business use.,DAA-GRS-2016-0014-0004,,21-Dec,
GRS_2.6.041,Senior Executive Service Candidate Development Program (SESCDP) - Case records on SESCDP participants,Employee Training,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy upon certification by OPM’s Qualifications Review Board (QRB) or 1 year after separation from SESCDP, but longer retention is authorized if required for business use.",DAA-GRS-2016-0014-0005,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.010,Clinic scheduling records,Employee Health & Safety,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0001,,21-Dec,
GRS_2.7.020,Occupational injury and illness program records,Employee Health & Safety,"29 CFR Part 1904.33, 29 CFR Part 1960.69",Temporary,6,Creation_Age,,Yes,Yes,"Destroy when 6 years old, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0002,,21-Dec,
GRS_2.7.030,Occupational health and safety training records,Employee Health & Safety,29 CFR Part 1910.120 App E(9),Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 5 years after training participation or when superseded, whichever is applicable, but longer retention is authorized if required for business use.",DAA-GRS-2017-0010-0003,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.040,Workplace environmental monitoring and exposure records - OSHA-regulated substance monitoring and exposure records,Employee Health & Safety,"29 CFR Part 1910.1020(d)(1)(ii), 29 CFR Part 1910.1020(d)(1)(iii)",Temporary,30,Creation_Age,,Yes,Yes,"Destroy no sooner than 30 years after monitoring is conducted, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0004,,21-Dec,
GRS_2.7.041,Workplace environmental monitoring and exposure records - Occupational noise monitoring and exposure records,Employee Health & Safety,29 CFR Part 1910.95(m)(3)(i),Temporary,2,Creation_Age,,Yes,Yes,"Destroy no sooner than 2 years after monitoring is conducted, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0005,,21-Dec,
GRS_2.7.042,"Workplace environmental monitoring and exposure records - Lead (Pb), Coke Oven emissions, Dibromochloropropane (DBCP), Acrylonitrile, and Inorganic Arsenic monitoring and exposure records",Employee Health & Safety,29 CFR Part 1910.1045 App A(vi)(C),Temporary,40,Creation_Age,,Yes,Yes,"Destroy no sooner than 40 years after monitor-ing is conducted, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0006,,21-Dec,
GRS_2.7.043,Workplace environmental monitoring and exposure records - Background data,Employee Health & Safety,29 CFR Part 1910.1020(d)(1)(ii)(A),Temporary,1,Creation_Age,,Yes,Yes,"Destroy no sooner than 1 year after monitoring is conducted, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0007,,21-Dec,
GRS_2.7.050,Safety Data Sheets (SDS),Employee Health & Safety,29 CFR Part 1910.1020(d)(1)(ii)(B),Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2017-0010-0008,,21-Dec,
GRS_2.7.060,Occupational individual medical case files - Long-term records,Employee Health & Safety,"5 CFR Part 293.511(b), 29 CFR 1910.1020(d)(1)(i), 29 CFR Part 1910.95(m)(3)(ii)",Temporary,N/A,N/A,N/A,No,Yes,"Destroy 30 years after employee separation or when the Official Personnel Folder (OPF) is destroyed, whichever is longer.",DAA-GRS-2017-0010-0009,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.061,Occupational individual medical case files - Short-term records,Employee Health & Safety,,Temporary,1,Event_Age,Final action,No,Yes,Destroy 1 year after employee separation or transfer.,DAA-GRS-2017-0010-0010,,21-Dec,
GRS_2.7.062,Occupational individual medical case files - Individual employee health case files created prior to establishment of the Employee Medical File system in 1986,Employee Health & Safety,,Temporary,60,Event_Age,Final action,No,Yes,Destroy 60 years after retirement to the NARA records storage facility.,DAA-GRS-2017-0010-0011,,21-Dec,
GRS_2.7.063,Vaccination attestations and proof of vaccination records - Federal Employees and contractors,Employee Health & Safety,,Temporary,3,Creation_Age,,No,Yes,Destroy when 3 years old.,DAA-GRS-2021-0003-0001,,22-Mar,
GRS_2.7.064,Vaccination attestations and proof of vaccination records - Visitors,Employee Health & Safety,,Temporary,30d,Creation_Age,,No,Yes,Destroy when 30 days old.,DAA-GRS-2021-0003-0002,,22-Mar,
GRS_2.7.065,Symptom screening and testing records - Federal Employees,Employee Health & Safety,,Temporary,1,Creation_Age,,No,Yes,Destroy when 1 year old.,DAA-GRS-2021-0003-0003,,22-Mar,
GRS_2.7.066,Symptom screening and testing records - Contractors and visitors,Employee Health & Safety,,Temporary,30d,Creation_Age,,No,Yes,Destroy when 30 days old.,DAA-GRS-2021-0003-0004,,22-Mar,
GRS_2.7.070,Non-occupational individual medical case files,Employee Health & Safety,"American Health Information Management Association (AHIMA) Recommended Retention
Standards [Appendix D from the 2011 update], 31 U.S.C. 3731(b), False Claims Act",Temporary,10,Event_Age,Final action,Yes,Yes,"Destroy 10 years after the most recent encounter, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0012,,21-Dec,
GRS_2.7.080,Non-occupational health and wellness program records,Employee Health & Safety,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after the project/activity/ or transaction is completed or superseded, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0013,,21-Dec,
GRS_2.7.090,Employee Assistance Program (EAP) counseling records - Records related to employee performance or conduct,Employee Health & Safety,,Temporary,0,Event_Age,Final action,No,Yes,Destroy once employee has met condition(s) specified by agreement or adverse action or performance-based action case file has been initiated.,DAA-GRS-2017-0010-0014,,21-Dec,
GRS_2.7.091,Employee Assistance Program (EAP) counseling records - Records not related to performance or conduct,Employee Health & Safety,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 7 years after termination of counseling for adults or 3 years after a minor reaches the age of majority, or when the state-specific statute of limitations has expired for contract providers subject to state requirements, but longer retention is authorized if needed for business use.",DAA-GRS-2017-0010-0015,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.100,"Employee drug test plans, procedures, and scheduling records",Employee Health & Safety,,Temporary,N/A,N/A,N/A,No,Yes,Destroy when 3 years old or when superseded or obsolete.,DAA-GRS-2017-0010-0016,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.110,Employee drug test acknowledgment of notice forms,Employee Health & Safety,,Temporary,0,Event_Age,Final action,No,Yes,Destroy when employee separates from testing-designated position.,DAA-GRS-2017-0010-0017,,21-Dec,
GRS_2.7.120,Employee drug testing specimen records,Employee Health & Safety,,Temporary,N/A,N/A,N/A,No,Yes,"Destroy 3 years after date of last entry or when 3 years old, whichever is later.",DAA-GRS-2017-0010-0018,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.130,Employee drug test results - Positive results,Employee Health & Safety,,Temporary,N/A,N/A,N/A,No,Yes,"Destroy when employee leaves the agency or when 3 years old, whichever is later.",DAA-GRS-2017-0010-0019,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.7.131,Employee drug test results - Negative results,Employee Health & Safety,,Temporary,3,Creation_Age,,No,Yes,Destroy when 3 years old.,DAA-GRS-2017-0010-0020,,21-Dec,
GRS_2.8.010,General ethics program records,Employee Ethics,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years following the conclusion of an ethics regulatory review, provision of advice to an employee, making a determination regarding outside employment or after such determination is no longer in effect or applicable, or when no longer needed for an active investigation; whichever is later, but longer retention is authorized if required for business use.","DAA-GRS-2016-0006-0001 
",,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.020,Referrals and notifications of violations of criminal conflict of interest statutes and other potential violations files,Employee Ethics,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years after final disposition of the referral to either the IG or DOJ, but longer retention is authorized if required for business use.",DAA-GRS-2014-0005-0002,,21-Dec,
GRS_2.8.030,Reports of payments accepted from non-Federal sources - Agency reports,Employee Ethics,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years following submission of the report to OGE, but longer retention is authorized if required for business use.",DAA-GRS-2014-0005-0003,,21-Dec,
GRS_2.8.031,Reports of payments accepted from non-Federal sources - Supporting documentation,Employee Ethics,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year following submission of the report to OGE, but longer retention is authorized if required for business use.",DAA-GRS-2014-0005-0004,,21-Dec,
GRS_2.8.040,Office of Government Ethics program questionnaire records,Employee Ethics,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after submission, but longer retention is authorized if required for business use.",DAA-GRS-2014-0005-0005,,21-Dec,
GRS_2.8.050,Ethics program review records,Employee Ethics,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 6 years after all outstanding ethics program review deficiencies have been resolved or when the documentation for the next program review is on file, whichever is later. Longer retention is authorized if needed for business use.",DAA-GRS-2014-0005-0006,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.8.060,"Public financial disclosure reports -  Reports for individuals filing in accordance with the Ethics in Government  Act, as amended (5 U.S.C. app.), including the Stop Trading on Congressional Knowledge Act of 2012 (STOCK Act) (Pub. L. 112-105), and not  subsequently confirmed by the U.S. Senate",Employee Ethics,"5 U.S.C. app. section 105, 5 CFR 2634.603",Temporary,1,Event_Age,Final action,No,No,"Destroy 1 year after nominee ceases to be under consideration for the position or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0007,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.061,Public financial disclosure reports - All other reports,Employee Ethics,"5 U.S.C. app. section 105, 5 CFR part 2634.603",Temporary,6,Event_Age,Final action,No,No,"Destroy 6 years after receipt of the OGE Form 278 or 278e by the agency or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0008,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.062,Public financial disclosure reports - Periodic transaction reports,Employee Ethics,"STOCK Act, Pub. L. 112-105",Temporary,N/A,N/A,N/A,Yes,No,Destroy 7 years after receipt by the agency or when the related subsequent OGE Form 278 (SF 278) is ready for destruction 6 years later. The reports may be retained longer if needed for active investigation.  This disposition instruction is mandatory; deviations are not allowed.,DAA-GRS-2014-0005-0009,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.8.063,Public financial disclosure reports - Requests to inspect or receive copies of executive branch personnel public financial disclosure reports or other covered records (OGE Form 201 or agency equivalent form),Employee Ethics,5 U.S.C. app. section 105(b)(2) ,Temporary,0,Event_Age,Final action,No,No,Destroy when the requested report is destroyed. This disposition instruction is mandatory; deviations are not allowed.,DAA-GRS-2014-0005-0010,,21-Dec,
GRS_2.8.070,Confidential financial disclosure reports - Reports for individuals not subsequently confirmed by the U.S. Senate,Employee Ethics,5 CFR 2634.604 ,Temporary,1,Event_Age,Final action,No,No,"Destroy 1 year after nominee ceases to be under consideration for the position or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0011,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.071,Confidential financial disclosure reports - All other reports,Employee Ethics,5 CFR 2634.604,Temporary,6,Event_Age,Final action,No,No,"Destroy 6 years after receipt of the OGE Form 450 by the agency, except when the OGE Form 450 supports one or more subsequent Optional OGE Form 450-As then destroy 6 years after receipt of the last related OGE Form 450-A by the agency, or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0012,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.072,Confidential financial disclosure reports - OGE Optional Form 450-A reports,Employee Ethics,"5 CFR 2634.604, 5 CFR 2634.905 ",Temporary,6,Event_Age,Final action,No,No,"Destroy 6 years after receipt of the OGE Form 450-A report by the agency, along with the associated OGE Form 450, or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0013,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.080,Alternative or additional financial disclosure reports and related records - Reports for individuals not subsequently confirmed by the U.S. Senate,Employee Ethics,5 U.S.C. app. section 105,Temporary,1,Event_Age,Final action,No,No,"Destroy 1 year after nominee ceases to be under consideration for the position or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0014,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.081,Alternative or additional financial disclosure reports and related records - All other reports,Employee Ethics,"5 U.S.C. app. section 105 
",Temporary,6,Event_Age,Final action,No,No,"Destroy 6 years after receipt of the financial disclosure report by the agency or when no longer needed for active investigation, whichever is later.  This disposition instruction is mandatory; deviations are not allowed.",DAA-GRS-2014-0005-0015,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_2.8.090,Financial disclosure supporting documentation,Employee Ethics,,Temporary,N/A,N/A,N/A,No,Yes,"Destroy at the same time an individual’s related financial disclosure report is destroyed or 6 years after the individual has submitted their last financial disclosure report; or when no longer needed for active investigation, whichever is later.",DAA-GRS-2014-0005-0016,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.8.100,Ethics agreements records - Agreements for employees who do not file financial disclosure reports,Employee Ethics,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 6 years after the waiver or other agreed-upon determination or action has been issued or undertaken, or 6 years after it is no longer in effect, or when no longer needed for active investigation, whichever is later. Longer retention is authorized if needed for business use.",DAA-GRS-2014-0005-0017,,23-Jan,This item is not machine-implementable and will be revised.
GRS_2.8.101,Ethics agreements records - Agreements for employees who file financial disclosure reports,Employee Ethics,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy at the same time as the employee’s last related financial report is destroyed or when no longer needed for active investigation, whichever is later.  Longer retention is authorized if needed for business use.",DAA-GRS-2014-0005-0018,,21-Dec,Note that the disposition instruction includes the caveat that records are not to be destroyed if needed for an active investigation. This should be handled by record freezes/holds.
GRS_3.1.001,Technology management administrative records,General Technology Management,,Temporary,5,Creation_Age,,Yes,Yes,"Destroy when 5 years old, but longer retention is authorized if needed for business use.",DAA-GRS-2016-0013-0002,,21-Dec,
GRS_3.1.010,Information technology development project records - Infrastructure project records,General Technology Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after project is terminated, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0006,,21-Dec,
GRS_3.1.011,Information technology development project records - System development records,General Technology Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after system is superseded by a new iteration, or is terminated, defunded, or no longer needed for agency/IT administrative purposes, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0007,,21-Dec,
GRS_3.1.012,Information technology development project records - Special purpose computer programs and applications,General Technology Management,,Temporary,0,Event_Age,Final action,Yes,Yes,"Delete when related master file or database has been deleted, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0008,,21-Dec,
GRS_3.1.020,Information technology operations and maintenance records,General Technology Management,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after agreement, control measures, procedures, project, activity, or transaction is obsolete, completed, terminated or superseded, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0004,,21-Dec,
GRS_3.1.030,Configuration and Change Management Records,General Technology Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after system is superseded by a new iteration, or is terminated, defunded, or no longer needed for agency/IT administrative purposes, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0005,,21-Dec,
GRS_3.1.040,Information technology oversight and compliance records,General Technology Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after the project/activity/ transaction is completed or superseded, but longer retention is authorized if required for business use.",DAA-GRS-2013-0005-0010,,21-Dec,
GRS_3.1.050,Data administration records - Documentation necessary for preservation of permanent electronic records,General Technology Management,,Permanent,N/A,N/A,N/A,N/A,Yes,Transfer to the National Archives with the permanent electronic records to which the documentation relates.,DAA-GRS-2013-0005-0002,,23-Jun,Transfer to NARA with related records.
GRS_3.1.051,Data administration records - All documentation for temporary electronic records and documentation not necessary for preservation of permanent records,General Technology Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after the project/activity/ transaction is completed or superseded, or the associated system is terminated, or the associated data is migrated to a successor system, but longer retention is authorized if required for business use",DAA-GRS-2013-0005-0003,,21-Dec,
GRS_3.2.010,Systems and data security records ,Information Systems Security,,Temporary,N/A,N/A,N/A,Yes,Yes,Destroy 1 year(s) after system is superseded by a new iteration or when no longer needed for agency/IT administrative purposes to ensure a continuity of security controls throughout the life of the system.,DAA-GRS-2013-0006-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_3.2.020,"Computer security incident handling, reporting and follow-up records",Information Systems Security,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 year(s) after all necessary follow-up actions have been completed, but longer retention is authorized if required for business use.",DAA-GRS-2013-0006-0002,,21-Dec,
GRS_3.2.030,System access records - Systems not requiring special accountability for access,Information Systems Security,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2013-0006-0003,,21-Dec,
GRS_3.2.031,System access records - Systems requiring special accountability for access,Information Systems Security,,Temporary,6,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 6 years after password is altered or user account is terminated, but longer retention is authorized if required for business use.",DAA-GRS-2013-0006-0004,,21-Dec,
GRS_3.2.035,Cybersecurity logging records - Full packet capture data,Information Systems Security,OMB Memo M-21-31,Temporary,72h,Creation_Age,,Yes,Yes,Destroy when 72 hours old. Longer retention is authorized for business use.,DAA-GRS-2022-0005-0001,,23-Jan,
GRS_3.2.036,Cybersecurity logging records - Cybersecurity event logs,Information Systems Security,OMB Memo M-21-31,Temporary,30m,Creation_Age,,Yes,Yes,Destroy when 30 months old. Longer retention is authorized for business use.,DAA-GRS-2022-0005-0002,,23-Jan,
GRS_3.2.040,System backups and tape library records - Incremental backup files,Information Systems Security,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when superseded by a full backup, or when no longer needed for system restoration, whichever is later.",DAA-GRS-2013-0006-0005,,21-Dec,
GRS_3.2.041,System backups and tape library records - Full backup files,Information Systems Security,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when second subsequent backup is verified as successful or when no longer needed for system restoration, whichever is later.",DAA-GRS-2013-0006-0006,,21-Dec,
GRS_3.2.050,Backups of master files and databases - File identical to permanent records scheduled for transfer to the National Archives,Information Systems Security,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy immediately after the identical records have been captured in a subsequent backup file or at any time after the transfer request has been signed by the National Archives, but longer retention is authorized if required for business use.",DAA-GRS-2013-0006-0007,,21-Dec,
GRS_3.2.051,Backups of master files and databases - File identical to temporary records authorized for destruction by a NARA-approved records schedule,Information Systems Security,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy immediately after the identical records have been deleted or replaced by a subsequent backup file, but longer retention is authorized if required for business use.",DAA-GRS-2013-0006-0008,,21-Dec,
GRS_3.2.060,PKI administrative records - FBCA CAs,Information Systems Security,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy/delete when 7 years 6 months, 10 years 6 months, or 20 years 6 months old, based on the maximum level of operation of the CA, or when no longer needed for business, whichever is later.","N1-GRS-07-003, item 13a1",,23-Jan,This item is not machine-implementable and will be revised.
GRS_3.2.061,PKI administrative records - Other (non-FBCA et al) CAs,Information Systems Security,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy/delete when 7 years 6 months to 20 years 6 months old, based on the maximum level of operation of the CA, or when no longer needed for business, whichever is later.","N1-GRS-07-003, item 13a2",,23-Jan,This item is not machine-implementable and will be revised.
GRS_3.2.062, PKI transaction-specific records,Information Systems Security,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy/delete when 7 years 6 months to 20 years 6 months old, based on the maximum level of operation of the appropriate CA and after the information record the PKI is designed to protect and/or access is destroyed according to an authorized schedule, or in the case of permanent records, when the record is transferred to NARA legal custody. Longer retention is authorized if the agency determines that transaction-specific PKI records are needed for a longer period","N1-GRS-07-003, item 13b",,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.1.010,Tracking and control records,Records Management,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer needed.,DAA-GRS-2013-0002-0016,,21-Dec,
GRS_4.1.020,Records management program records,Records Management,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy no sooner than 6 years after the project, activity, or transaction is completed or superseded, but longer retention is authorized if needed for business use.",DAA-GRS-2013-0002-0007,,21-Dec,
GRS_4.1.030,Vital or essential records program records,Records Management,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after project, activity, or transaction is completed or superseded, but longer retention is authorized if needed for business use.",DAA-GRS-2013-0002-0008,,21-Dec,
GRS_4.1.031,Copies of vital records,Records Management,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,Destroy when superseded by the next cycle.,DAA-GRS-2013-0002-0015,,21-Dec,
GRS_4.1.040,Forms management records,Records Management,,Temporary,3,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 3 years after form is discontinued, superseded, or canceled, but longer retention is authorized if needed for business use.",DAA-GRS-2013-0002-0009,,21-Dec,
GRS_4.1.050,Validation records for digitized temporary records,,,N/A,NA,N/A,N/A,N/A,N/A,Superseded,N/A ,DAA-GRS-2022-0010-0003,23-Jun,
GRS_4.2.001,"FOIA, Privacy Act, and classified documents administrative records",Information Access and Protection,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if needed for business use.","DAA-GRS-2019-0001-0001 
",,21-Dec,
GRS_4.2.010,General information request files,Information Access and Protection,,N/A,NA,N/A,N/A,N/A,N/A,Superseded,N/A ,DAA-GRS-2022-0009-0001,23-Jun,
GRS_4.2.020,Access and disclosure request files,Information Access and Protection,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 6 years after final agency action or 3 years after final adjudication by the courts, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2016-0002-0001 ,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.030,Information access and protection operational records - Records tracking and controlling access to protected information,Information Access and Protection,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 2 years after last form entry, reply, or submission; or when associated documents are declassified, decontrolled, or destroyed; or when an individual’s authorization expires; whichever is appropriate.  Longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0002,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.031,Information access and protection operational records - Access control records,Information Access and Protection,,Temporary,0,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy when superseded or obsolete, but longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0020,,21-Dec,
GRS_4.2.032,Information access and protection operational records - Records relating to classified or controlled unclassified document containers,Information Access and Protection,,Temporary,90d,Event_Age,Final action,Yes,Yes,"Destroy 90 days after last entry on form, but longer retention is authorized if required for business use.",DAA-GRS-2016-0002-0003 ,,21-Dec,
GRS_4.2.040,"Records of accounting for and controlling access to records requested under FOIA, PA, and MDR",Information Access and Protection,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after date of last entry or final action by agency, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0003 ,,21-Dec,
GRS_4.2.050,Privacy Act accounting of disclosure files,Information Access and Protection,,Temporary,N/A,N/A,N/A,No,Yes,"Dispose of in accordance with the approved disposition instructions for the related subject individual's records, or 5 years after the disclosure for which the accountability was made, whichever is later.",NC1-64-77-1 item 27,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.060,Erroneous release records - -Records filed with the record-keeping copy of the erroneously released records,Information Access and Protection,,Temporary,N/A,N/A,N/A,No,Yes,"Follow the disposition instructions approved for the released record copy or destroy 6 years after the erroneous release, whichever is later.",DAA-GRS-2015-0002-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.061,Erroneous release records - Records filed separately from the record-keeping copy of the released records,Information Access and Protection,,Temporary,6,Creation_Age,,Yes,Yes,"Destroy 6 years after the erroneous release, but longer retention is authorized if required for business use.",DAA-GRS-2015-0002-0002,,21-Dec,
GRS_4.2.065,Privacy complaint files,Information Access and Protection,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after resolution or referral, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0004,,21-Dec,
GRS_4.2.070,"Agency reports to the Congress, Department of Justice, or other entities regarding FOIA, MDR, PA, and similar access and disclosure programs",Information Access and Protection,,Temporary,2,Creation_Age,,Yes,Yes,"Destroy 2 years after date of report, but longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0006,,21-Dec,
